postcode,price
HX28SP,54905.48204
SA152HW,73959.42389
CA255NR,82533.24796
DH78RZ,86162.04421
DH79HZ,68268.89436
DH77JL,99992.09893
DH78XB,65458.09109
NE245EJ,84471.9735
NE242EL,63413.14244
S669DF,89689.3566
SA129UN,67771.35884
WV132EG,99195.61763
YO113EG,87687.76127
LE51EF,85288.73889
LL546AS,68183.3227
LN76HR,89701.1147
M460QR,98966.05241
NP225NB,67097.42436
NP224DR,87536.40006
NP225AU,59959.43842
S705UP,92828.92908
S703QZ,51470.77511
SR31DS,99494.95308
SR31SZ,73606.40948
SR53AZ,67154.1907
S704SN,74433.05796
CH445TL,80833
CH447HG,82666.66667
DN75HD,65914.35741
NE216NR,54274.33799
S264NA,85313.34231
LE50FQ,91952.56428
BB103AJ,68505.8106
M228JY,92492.98553
NE84RR,84931.91121
SY161PX,92492.105
TS254AU,63519.47222
TS255NX,81703.16147
WA27HA,75446.77207
WS66EN,99498.4345
WA20JT,51367.12573
CH437SJ,58200.87272
DL57HD,55393.94093
DL54HX,98773.41892
DL57HQ,61501.17191
HU80PJ,67125.65939
HU87SL,72541.26857
NE100YQ,97266.59029
NE108HT,73593.76474
NE108NT,70475.83633
PL143LU,77609.81349
PO63JN,97236.9401
TS14BJ,64615.35055
TS14RW,79032.77058
HU89LG,99579.65544
NG42JF,63456.69339
BB15RU,91621.79496
BB21EJ,62206.94368
BD48PB,96940.37643
BD49DP,70035.22564
BD58ER,81019.01298
BD59RD,75770.5201
CO28YH,99003.9924
CV128DW,83629.39139
LA141QL,41573.79253
LS62SG,94593.49224
LS61RE,88049.73812
SK56PB,92620.89619
BL00BQ,68551.10095
BL17JT,93899.9862
BL13BR,58448.04897
BL15UP,73009.22756
BL13PJ,69631.62665
DL39RT,86955.84103
DN311RN,71221.34246
LL184HN,99344.81409
NE296JA,64558.39088
